timestamp,item_id,demand
2024-09-10T01:00:00,1,5
2024-09-10T02:00:00,2,10
2024-09-10T03:00:00,3,15
2024-09-10T04:00:00,4,8
2024-09-10T05:00:00,5,12
2024-09-11T06:00:00,1,6
2024-09-11T07:00:00,2,14
2024-09-11T08:00:00,3,9
2024-09-11T09:00:00,4,7
2024-09-11T10:00:00,5,11
2024-09-12T11:00:00,1,5
2024-09-12T12:00:00,2,10
2024-09-12T13:00:00,3,15
2024-09-12T14:00:00,4,8
2024-09-12T15:00:00,5,12
2024-09-13T16:00:00,1,6
2024-09-13T17:00:00,2,14
2024-09-13T18:00:00,3,9
2024-09-13T19:00:00,4,7
2024-09-13T20:00:00,5,11
2024-09-14T21:00:00,1,5
2024-09-14T22:00:00,2,10
2024-09-14T23:00:00,3,15
2024-09-14T00:00:00,4,8
2024-09-15T01:00:00,5,12
2024-09-15T02:00:00,1,6
2024-09-15T03:00:00,2,14
2024-09-15T04:00:00,3,9
2024-09-15T05:00:00,4,7
2024-09-15T06:00:00,5,11
2024-09-16T07:00:00,1,5
2024-09-16T08:00:00,2,10
2024-09-16T09:00:00,3,15
2024-09-16T10:00:00,4,8
2024-09-16T11:00:00,5,12
2024-09-17T12:00:00,1,6
2024-09-17T13:00:00,2,14
2024-09-17T14:00:00,3,9
2024-09-17T15:00:00,4,7
2024-09-17T16:00:00,5,11
2024-09-18T17:00:00,1,5
2024-09-18T18:00:00,2,10
2024-09-18T19:00:00,3,15
2024-09-18T20:00:00,4,8
2024-09-18T21:00:00,5,12
2024-09-19T22:00:00,1,6
2024-09-19T23:00:00,2,14
2024-09-19T00:00:00,3,9
2024-09-19T01:00:00,4,7
2024-09-19T02:00:00,5,11
2024-09-20T03:00:00,1,5
2024-09-20T04:00:00,2,10
2024-09-20T05:00:00,3,15
2024-09-20T06:00:00,4,8
2024-09-20T07:00:00,5,12
2024-09-21T08:00:00,1,6
2024-09-21T09:00:00,2,14
2024-09-21T10:00:00,3,9
2024-09-21T11:00:00,4,7
2024-09-21T12:00:00,5,11
2024-09-22T13:00:00,1,5
2024-09-22T14:00:00,2,10
2024-09-22T15:00:00,3,15
2024-09-22T16:00:00,4,8
2024-09-22T17:00:00,5,12
2024-09-23T18:00:00,1,6
2024-09-23T19:00:00,2,14
2024-09-23T20:00:00,3,9
2024-09-23T21:00:00,4,7
2024-09-23T22:00:00,5,11
2024-09-24T23:00:00,1,5
2024-09-24T00:00:00,2,10
2024-09-24T01:00:00,3,15
2024-09-24T02:00:00,4,8
2024-09-24T03:00:00,5,12
2024-09-25T04:00:00,1,6
2024-09-25T05:00:00,2,14
2024-09-25T06:00:00,3,9
2024-09-25T07:00:00,4,7
2024-09-25T08:00:00,5,11
2024-10-09T23:00:00,4,12
2024-10-10T00:00:00,5,13
2024-11-06T20:40:26,1,10
2024-11-07T00:29:19,1,9
2024-11-10T22:25:57,2,10
2024-11-13T15:14:26,1,10
2024-11-13T15:24:51,1,10
2024-11-13T15:41:34,1,8
2024-11-14T15:46:44,2,10
2024-11-14T15:49:24,1,10
2024-11-14T15:57:01,1,10
2024-11-14T15:57:41,2,10
2024-11-14T16:01:44,1,10
2024-11-23T21:50:55,1,10

2024-12-18T16:12:51,8,5
2024-12-18T16:48:58,7,15
2024-12-18T16:50:33,4,30
2024-12-18T16:51:07,3,30
2024-12-18T16:51:07,4,10
